회사명,종목코드,상장일,결산년도,결산월,업종,자산,부채,자본,매출액(수익),증감률,영업이익,증감률,당기순이익,증감률
신영스팩8호,430220,2022-08-26,-,-,금융 지원 서비스업,0,0,0,0,0,0,0,0,0
IBKS19호스팩,426550,2022-08-26,-,-,금융 지원 서비스업,0,0,0,0,0,0,0,0,0
쏘카,403550,2022-08-22,2021,12월,운송장비 임대업,"419,878,674","269,972,150","149,906,524","284,953,806",30,"-8,423,142",-121,"3,660,720",105
대성하이텍,129920,2022-08-22,2021,12월,특수 목적용 기계 제조업,"142,765,104","111,783,427","30,981,677","102,716,207",41,"11,691,679",260,"7,457,426",194
에이치와이티씨,148930,2022-08-09,2020,12월,기타 금속 가공제품 제조업,"21,474,098","11,996,622","9,477,476","21,306,042",7,"3,823,591",32,"3,261,039",29
새빗켐,107600,2022-08-04,2021,12월,기타 화학제품 제조업,"23,885,892","9,239,495","14,646,398","33,388,664",59,"5,540,032",112,"4,422,892",107
유안타제9호스팩,430700,2022-08-04,-,-,금융 지원 서비스업,0,0,0,0,0,0,0,0,0
수산인더스트리,126720,2022-08-01,2020,12월,건물설비 설치 공사업,"252,638,069","40,708,588","211,929,482","174,160,141",-3,"23,509,782",-15,"25,135,413",-19
아이씨에이치,368600,2022-07-29,2020,12월,그외 기타 제품 제조업,"31,771,483","21,409,558","10,361,925","16,407,923",1,"2,821,718",-47,"916,916",-52
신한제10호스팩,418210,2022-07-29,-,-,금융 지원 서비스업,0,0,0,0,0,0,0,0,0
성일하이텍,365340,2022-07-28,2021,12월,기초 화학물질 제조업,"186,995,162","78,211,035","108,784,126","138,486,972",128,"13,660,428",314,"-10,152,208",-363
에이프릴바이오,397030,2022-07-28,2020,12월,자연과학 및 공학 연구개발업,"19,410,051","33,187,367","-13,777,316",0,0,"-9,187,557",-214,"-10,220,055",-111
퓨쳐메디신,341170,2022-07-27,-,-,자연과학 및 공학 연구개발업,0,0,0,0,0,0,0,0,0
IBKS제18호스팩,424760,2022-07-22,-,-,금융 지원 서비스업,0,0,0,0,0,0,0,0,0
루닛,328130,2022-07-21,2020,12월,소프트웨어 개발 및 공급업,"25,136,744","155,761,399","-130,624,655","1,430,042",620,"-20,942,737",-80,"-83,731,620",-78
바스칸바이오제약,354390,2022-07-20,2012,12월,의약품 제조업,"15,956,507","14,631,557","1,324,950","14,140,598",-10,"-459,692",-143,"-1,544,152","-5,101"
HPSP,403870,2022-07-15,2021,12월,특수 목적용 기계 제조업,"91,621,767","38,873,020","52,748,747","91,752,312",50,"45,212,381",82,"35,343,560",100
